State,Month,Count
USA,Jan,324
USA,Feb,253
USA,Mar,303
USA,Apr,231
USA,May,295
USA,Jun,271
USA,Jul,393
USA,Aug,311
USA,Sep,336
USA,Oct,351
USA,Nov,246
USA,Dec,242
USA,UFO 2018,3556
AL,Jan,4
AL,Feb,3
AL,Mar,4
AL,Apr,6
AL,May,4
AL,Jun,2
AL,Jul,3
AL,Aug,3
AL,Sep,3
AL,Oct,1
AL,Nov,2
AL,Dec,2
AL,UFO 2018,37
AR,Jan,10
AR,Feb,5
AR,Mar,2
AR,Apr,3
AR,May,1
AR,Jun,3
AR,Jul,1
AR,Aug,4
AR,Sep,5
AR,Oct,4
AR,Nov,2
AR,Dec,4
AR,UFO 2018,44
AZ,Jan,14
AZ,Feb,23
AZ,Mar,22
AZ,Apr,15
AZ,May,15
AZ,Jun,11
AZ,Jul,7
AZ,Aug,8
AZ,Sep,12
AZ,Oct,19
AZ,Nov,11
AZ,Dec,12
AZ,UFO 2018,169
CA,Jan,40
CA,Feb,50
CA,Mar,28
CA,Apr,21
CA,May,33
CA,Jun,34
CA,Jul,41
CA,Aug,25
CA,Sep,31
CA,Oct,68
CA,Nov,29
CA,Dec,30
CA,UFO 2018,430
CO,Jan,6
CO,Feb,10
CO,Mar,12
CO,Apr,6
CO,May,16
CO,Jun,9
CO,Jul,4
CO,Aug,12
CO,Sep,19
CO,Oct,10
CO,Nov,5
CO,Dec,13
CO,UFO 2018,122
CT,Jan,4
CT,Feb,1
CT,Mar,3
CT,Apr,4
CT,May,3
CT,Jun,0
CT,Jul,0
CT,Aug,4
CT,Sep,2
CT,Oct,3
CT,Nov,3
CT,Dec,1
CT,UFO 2018,28
DC,Jan,0
DC,Feb,1
DC,Mar,0
DC,Apr,1
DC,May,0
DC,Jun,1
DC,Jul,0
DC,Aug,2
DC,Sep,0
DC,Oct,1
DC,Nov,0
DC,Dec,2
DC,UFO 2018,8
DE,Jan,0
DE,Feb,0
DE,Mar,2
DE,Apr,0
DE,May,0
DE,Jun,0
DE,Jul,0
DE,Aug,1
DE,Sep,1
DE,Oct,1
DE,Nov,1
DE,Dec,1
DE,UFO 2018,7
FL,Jan,42
FL,Feb,18
FL,Mar,27
FL,Apr,15
FL,May,20
FL,Jun,9
FL,Jul,33
FL,Aug,18
FL,Sep,20
FL,Oct,29
FL,Nov,18
FL,Dec,14
FL,UFO 2018,263
GA,Jan,5
GA,Feb,6
GA,Mar,9
GA,Apr,10
GA,May,6
GA,Jun,4
GA,Jul,8
GA,Aug,7
GA,Sep,9
GA,Oct,5
GA,Nov,1
GA,Dec,2
GA,UFO 2018,72
IA,Jan,1
IA,Feb,1
IA,Mar,4
IA,Apr,0
IA,May,2
IA,Jun,3
IA,Jul,1
IA,Aug,5
IA,Sep,1
IA,Oct,2
IA,Nov,0
IA,Dec,3
IA,UFO 2018,23
ID,Jan,2
ID,Feb,2
ID,Mar,2
ID,Apr,6
ID,May,3
ID,Jun,2
ID,Jul,10
ID,Aug,0
ID,Sep,3
ID,Oct,2
ID,Nov,3
ID,Dec,3
ID,UFO 2018,38
IL,Jan,12
IL,Feb,2
IL,Mar,6
IL,Apr,3
IL,May,9
IL,Jun,14
IL,Jul,7
IL,Aug,11
IL,Sep,10
IL,Oct,3
IL,Nov,5
IL,Dec,7
IL,UFO 2018,89
IN,Jan,6
IN,Feb,5
IN,Mar,8
IN,Apr,3
IN,May,6
IN,Jun,3
IN,Jul,9
IN,Aug,10
IN,Sep,11
IN,Oct,4
IN,Nov,3
IN,Dec,4
IN,UFO 2018,72
KS,Jan,1
KS,Feb,1
KS,Mar,2
KS,Apr,1
KS,May,2
KS,Jun,2
KS,Jul,3
KS,Aug,2
KS,Sep,1
KS,Oct,3
KS,Nov,1
KS,Dec,1
KS,UFO 2018,20
KY,Jan,4
KY,Feb,2
KY,Mar,3
KY,Apr,1
KY,May,2
KY,Jun,1
KY,Jul,12
KY,Aug,3
KY,Sep,2
KY,Oct,6
KY,Nov,5
KY,Dec,4
KY,UFO 2018,45
LA,Jan,5
LA,Feb,1
LA,Mar,5
LA,Apr,3
LA,May,1
LA,Jun,0
LA,Jul,1
LA,Aug,3
LA,Sep,3
LA,Oct,3
LA,Nov,4
LA,Dec,2
LA,UFO 2018,31
MA,Jan,3
MA,Feb,4
MA,Mar,6
MA,Apr,1
MA,May,6
MA,Jun,9
MA,Jul,3
MA,Aug,5
MA,Sep,11
MA,Oct,4
MA,Nov,3
MA,Dec,5
MA,UFO 2018,60
ME,Jan,3
ME,Feb,4
ME,Mar,3
ME,Apr,4
ME,May,3
ME,Jun,2
ME,Jul,7
ME,Aug,3
ME,Sep,4
ME,Oct,3
ME,Nov,0
ME,Dec,1
ME,UFO 2018,37
MI,Jan,9
MI,Feb,7
MI,Mar,16
MI,Apr,15
MI,May,12
MI,Jun,12
MI,Jul,17
MI,Aug,12
MI,Sep,9
MI,Oct,14
MI,Nov,5
MI,Dec,9
MI,UFO 2018,137
MN,Jan,4
MN,Feb,1
MN,Mar,4
MN,Apr,4
MN,May,3
MN,Jun,3
MN,Jul,9
