state_long,state_short,word_cloud
Alabama,AL,light light light light light light light light light bright bright bright bright bright bright lights lights lights lights lights red red red red red blinking blinking blinking blinking moon moon moon moon sky sky sky sky moved moved moved object object object moving moving moving disappearing disappearing disappearing camera camera camera pulsating pulsating pulsating went went went glowing glowing glowing ufo ufo ufo white white hovering hovering triangular triangular low low star star started started captured captured large large overhead overhead
Arizona,AZ,lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light object object object object object object object object object object object object object object object object object object object object object object object object object object object object object bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky white white white white white white white white white white white white white white white white white white noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed moving moving moving moving moving moving moving moving moving moving moving moving moving moving took took took took took took took took took took took took took took moved moved moved moved moved moved moved moved moved moved moved moved objects objects objects objects objects objects objects objects objects objects objects objects glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing disappeared disappeared disappeared disappeared disappeared disappeared disappeared disappeared disappeared disappeared disappeared hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orb orb orb orb orb orb orb orb orb orb picture picture picture picture picture picture picture picture picture red red red red red red red red red photo photo photo photo photo photo photo photo line line line line line line line line triangle triangle triangle triangle triangle triangle triangle triangle star star star star star star star star east east east east east east east east went went went went went went went went appeared appeared appeared appeared appeared appeared appeared
Arkansas,AR,light light light light light light light light light light light light object object object object object object object object object object object bright bright bright bright bright bright bright bright bright sky sky sky sky sky sky moving moving moving moving moving observed observed observed observed observed night night night night night line line line line ufo ufo ufo ufo triangular triangular triangular triangular lights lights lights lights sky sky sky sky photos photos photos dark dark dark hovered hovered hovered hovering hovering hovering emitted emitted emitted small small small near near near straight straight straight plane plane plane traveling traveling traveling star star star took took took just just
California,CA,object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white white hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved moved red red red red red red red red red red red red red red red red red red red red red red red red orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb orb cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud high high high high high high high high high high high high high high high high high high high high high high west west west west west west west west west west west west west west west west west west west west west star star star star star star star star star star star star star star star star star star star star star noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs shape shape shape shape shape shape shape shape shape shape shape shape shape shape shape shape shape shape shape shape objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared appeared green green green green green green green green green green green green green green green green green green green going going going going going going going going going going going going going going going going going going
Colorado,CO,light light light light light light light light light light light light light light light light light light light light light light light light light light light light light object object object object object object object object object object object object object object object object object object object object object object object object object object lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights bright bright bright bright bright bright bright bright bright bright bright bright bright moving moving moving moving moving moving moving moving moving moving moving moving moving sky sky sky sky sky sky sky sky sky sky sky sky sky hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering white white white white white white white white white white observed observed observed observed observed observed observed observed west west west west west west west west large large large large large large large large orb orb orb orb orb orb orb orb straight straight straight straight straight straight straight slowly slowly slowly slowly slowly slowly slowly shape shape shape shape shape shape path path path path path path hovered hovered hovered hovered hovered hovered glowing glowing glowing glowing glowing glowing moved moved moved moved moved moved clouds clouds clouds clouds clouds clouds orange orange orange orange orange started started started started started moon moon moon moon moon left left left left left craft craft craft craft craft
Connecticut,CT,light light light light light light light light light bright bright bright bright bright bright sky sky sky sky sky object object object object object flashing flashing flashing flashing lights lights lights lights slowly slowly slowly slowly star star star star direction direction direction straight straight straight white white white smaller smaller smaller appeared appeared appeared hovering hovering hovering flew flew flew line line blinking blinking flying flying quickly quickly moved moved ball ball pulsating pulsating moving moving stars stars sunset sunset
Delaware,DE,object object object observed observed lights lights past past moving moving quickly quickly large shape half moon small hovering cylindrical erratically line merge disappear air flew directly friend noise triangular shape witnessed
District of Columbia,DC,silver silver reflective reflective interview interview ufo inside capital beltway spheres moving low cloud shining white disappearing cluster mile metallic objects discernible movement observed street away silver driving
Florida,FL,object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object object light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright bright moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving moving flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying flying red red red red red red red red red red red red red red red red red red red objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects objects white white white white white white white white white white white white white white white white white white white hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering hovering glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing glowing star star star star star star star star star star star star star star star noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed noticed shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped shaped green green green green green green green green green green green green green green ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo ufo craft craft craft craft craft craft craft craft craft craft craft craft craft orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orbs orange orange orange orange orange orange orange orange orange orange orange orange orange fast fast fast fast fast fast fast fast fast fast fast fast fast orb orb orb orb orb orb orb orb orb orb orb orb triangle triangle triangle triangle triangle triangle triangle triangle triangle triangle triangle shape shape shape shape shape shape shape shape shape shape shape west west west west west west west west west west west
Georgia,GA,light light light light light light light light light light light light light light light light light light light object object object object object object object object object object object object object object object object lights lights lights lights lights lights lights lights lights lights lights lights lights lights lights bright bright bright bright bright bright bright bright bright bright bright bright bright window window window window window window window window window window window window sky sky sky sky sky sky sky sky sky sky sky white white white white white white white white moving moving moving moving moving moving craft craft craft craft craft craft moved moved moved moved moved moved pictures pictures pictures pictures pictures pictures solid solid solid solid solid hovering hovering hovering hovering hovering disappeared disappeared disappeared disappeared disappeared ufos ufos ufos ufos ufos camera camera camera camera camera took took took took took orange orange orange orange small small small small observed observed observed observed objects objects objects objects straight straight straight straight ufo ufo ufo ufo shaped shaped shaped shaped orb orb orb orb
